sector,price,area,noOfOpenSides,price_per_sqft,Maintenance_Staff,Water_Storage,Vaastu_Compliant,Rain_Water_Harvesting,Rating,Metro,Park,School,College,Hospital,Shrine,Mall,Airport,latitude,longitude
sector 88a,1.57,1345.0,1.0,0.0011672862453531,1.0,1.0,1.0,1.0,3.0,1,1,1,1,1,0,0,1,28.4347,76.9557
sector 12,0.31,903.84,1.0,0.0003429810585944,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,28.4723,77.032
sector 50,4.4,2431.76,2.0,0.0018093890844491,1.0,0.0,0.0,0.0,4.75,0,0,1,1,1,0,1,0,28.4178,77.0628
sector 65,6.15,2399.48,2.0,0.0025630553286545,1.0,1.0,0.0,1.0,4.25,0,0,0,1,1,1,1,0,28.403,77.069
sector 50,4.4,2399.48,2.0,0.001833730641639,1.0,1.0,0.0,1.0,5.0,0,0,1,1,1,0,1,0,28.4178,77.0628
sector 66,7.2,2399.48,3.0,0.0030006501408638,1.0,1.0,0.0,0.0,3.75,1,1,1,1,1,0,0,1,28.3925,77.0541
sector 10,2.5,1839.96,1.0,0.001358725189678,1.0,1.0,1.0,1.0,4.25,1,1,1,1,1,0,1,1,28.4537,77.0009
sector 89,2.04,1839.96,2.0,0.0011087197547772,1.0,0.0,1.0,0.0,4.0,1,1,1,0,0,0,0,0,28.4253,76.9439
sector 91,5.25,4497.68,2.0,0.0011672684584052,1.0,0.0,1.0,0.0,3.875,0,0,1,1,1,0,1,1,28.4014,76.9225
sector 91,3.24,2431.76,2.0,0.0013323683258216,1.0,0.0,1.0,1.0,3.875,0,0,1,1,1,0,1,1,28.4014,76.9225
sector 91,3.13,2248.84,2.0,0.0013918286761174,1.0,0.0,1.0,1.0,3.875,0,0,1,1,1,0,1,1,28.4014,76.9225
sector 83,3.45,2700.76,2.0,0.001277418208208,1.0,0.0,1.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 83,2.52,2162.76,2.0,0.0011651778283304,1.0,0.0,1.0,0.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 83,2.34,1624.76,2.0,0.0014402127083384,1.0,0.0,1.0,1.0,4.75,0,0,1,0,0,0,0,0,28.3986,76.9647
sector 102,3.04,2022.88,1.0,0.001502807877877,1.0,1.0,1.0,1.0,4.125,1,1,1,0,0,0,1,1,28.475,76.9715
